OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
ZHONGXING-10,2011-026A,37677,PAY,+,PRC,2011-06-20,XICLF,,1436.13,1.24,35800,35775,50.1187,,EA,ORB
SES-3,2011-035A,37748,PAY,+,US,2011-07-15,TYMSC,,1436.1,1.52,35797,35776,19.9526,,EA,ORB
KAZSAT-2,2011-035B,37749,PAY,+,KAZ,2011-07-15,TYMSC,,1436.13,0.02,35794,35780,7.0794,,EA,ORB
ASTRA 1N,2011-041A,37775,PAY,+,SES,2011-08-06,FRGUI,,1436.07,0.07,35808,35764,7.9433,,EA,ORB
BSAT-3C (JCSAT-110R),2011-041B,37776,PAY,B,JPN,2011-08-06,FRGUI,,1436.13,0.06,35788,35786,23.5886,,EA,ORB
SES-2,2011-049A,37809,PAY,+,SES,2011-09-21,FRGUI,,1436.1,0.25,35799,35775,9.3468,,EA,ORB
ARABSAT-5C,2011-049B,37810,PAY,+,AB,2011-09-21,FRGUI,,1436.12,0.05,35803,35771,11.148,,EA,ORB
EUTELSAT 7 WEST A,2011-051A,37816,PAY,+,EUTE,2011-09-24,SEAL,,1436.11,0.07,35812,35761,15.8489,,EA,ORB
QUETZSAT 1,2011-054A,37826,PAY,+,MEX,2011-09-29,TYMSC,,1436.04,0.06,35797,35773,219.4788,,EA,ORB
INTELSAT 18 (IS-18),2011-056A,37834,PAY,+,ITSO,2011-10-05,TYMSC,,1436.08,0.05,35795,35778,37.7529,,EA,ORB
EUTELSAT 16A,2011-057A,37836,PAY,+,EUTE,2011-10-07,XICLF,,1436.09,0.07,35810,35763,7.6593,,EA,ORB
VIASAT-1,2011-059A,37843,PAY,P,US,2011-10-19,TYMSC,,1436.1,0.02,35796,35778,3.9811,,EA,ORB
ASIASAT 7,2011-069A,37933,PAY,+,AC,2011-11-25,TYMSC,,1436.06,0.04,35792,35779,45.0715,,EA,ORB
LUCH-5A,2011-074B,37951,PAY,+,CIS,2011-12-11,TYMSC,,1436.1,8.95,35803,35770,25.1189,,EA,ORB
NIGCOMSAT 1R,2011-077A,38014,PAY,+,NIG,2011-12-19,XICLF,,1436.05,0.02,35797,35775,18.4944,,EA,ORB
WGS F4 (USA 233),2012-003A,38070,PAY,+,US,2012-01-20,AFETR,,1436.14,0.01,35790,35785,15.8583,,EA,ORB
SES-4,2012-007A,38087,PAY,+,SES,2012-02-14,TYMSC,,1436.09,0.02,35797,35776,63.3469,,EA,ORB
BEIDOU-2 G5,2012-008A,38091,PAY,+,PRC,2012-02-24,XICLF,,1436.04,3.76,35813,35759,10.1705,,EA,ORB
INTELSAT 22 (IS-22),2012-011A,38098,PAY,+,ITSO,2012-03-25,TYMSC,,1436.11,0.03,35795,35778,0.003,,EA,ORB
APSTAR-7,2012-013A,38107,PAY,+,PRC,2012-03-31,XICLF,,1436.11,0.03,35803,35771,0.003,,EA,ORB
YAHSAT 1B,2012-016A,38245,PAY,+,UAE,2012-04-23,TYMSC,,1436.12,0.1,35794,35780,10.0,,EA,ORB
AEHF-2 (USA 235),2012-019A,38254,PAY,+,US,2012-05-04,AFETR,,1436.09,6.83,35797,35776,11.32,,EA,ORB
JCSAT-13,2012-023A,38331,PAY,+,JPN,2012-05-15,FRGUI,,1436.12,0.04,35797,35777,39.8107,,EA,ORB
VINASAT-2,2012-023B,38332,PAY,+,VTNM,2012-05-15,FRGUI,,1436.12,0.05,35796,35778,26.482,,EA,ORB
NIMIQ 6,2012-026A,38342,PAY,+,CA,2012-05-17,TYMSC,,1436.11,0.06,35799,35775,14.093,,EA,ORB
ZHONGXING-2A,2012-028A,38352,PAY,+,PRC,2012-05-26,XICLF,,1436.11,1.65,35792,35782,19.9526,,EA,ORB
INTELSAT 19 (IS-19),2012-030A,38356,PAY,+,ITSO,2012-06-01,SEAL,,1436.1,0.02,35799,35774,15.8188,,EA,ORB
USA 236,2012-033A,38466,PAY,+,US,2012-06-20,AFETR,,1436.13,7.81,35809,35765,,NEA,EA,ORB
USA 237,2012-034A,38528,PAY,+,US,2012-06-29,AFETR,,1436.07,7.31,35985,35587,,NEA,EA,ORB
ECHOSTAR 17,2012-035A,38551,PAY,+,US,2012-07-05,FRGUI,,1436.13,0.02,35797,35778,12.5893,,EA,ORB
METEOSAT-10 (MSG-3),2012-035B,38552,PAY,+,EUME,2012-07-05,FRGUI,,1436.14,4.85,35792,35783,4.3946,,EA,ORB
SES-5,2012-036A,38652,PAY,+,SES,2012-07-09,TYMSC,,1436.1,0.05,35796,35778,37.7081,,EA,ORB
INTELSAT 20 (IS-20),2012-043A,38740,PAY,+,ITSO,2012-08-02,FRGUI,,1436.07,0.02,35793,35779,1.2308,,EA,ORB
HYLAS 2,2012-043B,38741,PAY,+,UK,2012-08-02,FRGUI,,1432.49,2.62,35730,35702,5.0119,,EA,ORB
INTELSAT 21 (IS-21),2012-045A,38749,PAY,+,ITSO,2012-08-19,SEAL,,1436.13,0.04,35798,35777,52.4,,EA,ORB
ASTRA 2F,2012-051A,38778,PAY,+,SES,2012-09-28,FRGUI,,1436.04,0.09,35804,35767,17.601,,EA,ORB
GSAT-10,2012-051B,38779,PAY,+,IND,2012-09-28,FRGUI,,1436.12,0.08,35811,35763,13.8482,,EA,ORB
INTELSAT 23 (IS-23),2012-057A,38867,PAY,+,ITSO,2012-10-14,TYMSC,,1436.15,0.04,35795,35780,113.2145,,EA,ORB
BEIDOU-2 G6,2012-059A,38953,PAY,+,PRC,2012-10-25,XICLF,,1436.09,4.61,35816,35757,2.5119,,EA,ORB
